fecha,monto,producto,region,vendedor,canal
2023-07-01,39756.0,Laptop,Centro,Ana,Tienda
2024-08-14,275604.0,Monitor,Centro,Ana,Tienda
2022-08-19,84440.0,Monitor,Centro,Ana,Distribuidor
2024-08-11,63225.0,Teclado,Centro,Luis,Distribuidor
2023-05-05,80812.0,Monitor,Norte,Pedro,Tienda
2023-08-01,38724.0,Teclado,Centro,María,Online
2024-07-17,145540.0,Teclado,Norte,Ana,Online
2024-10-14,45299.0,Teclado,Sur,Juan,Tienda
2022-01-27,6660.0,Laptop,Centro,Pedro,Online
2022-08-30,74645.0,Mouse,Sur,Pedro,Distribuidor
2023-03-29,8516.0,Teclado,Centro,Luis,Tienda
2024-10-05,86379.0,Monitor,Centro,Ana,Tienda
2024-04-07,76436.0,,Centro,María,
2022-08-14,37869.0,Teclado,Norte,,Tienda
2024-02-19,47071.0,Laptop,Norte,María,Tienda
2024-02-03,69032.0,Laptop,Norte,,Online
2023-01-21,96871.0,Mouse,Norte,Ana,Online
2024-09-18,117576.0,Mouse,Norte,Luis,Online
2024-08-12,113075.0,Monitor,,María,Online
2023-11-30,39048.0,Laptop,,Ana,Online
2022-06-16,103038.0,Teclado,Sur,Ana,
2022-07-09,12770.0,Laptop,Sur,Luis,Tienda
2024-06-14,81956.0,,Centro,Juan,Distribuidor
2023-01-27,43781.0,Monitor,Sur,,Tienda
2024-12-13,57834.0,Laptop,Centro,Luis,Tienda
2024-12-02,97523.0,Mouse,Norte,Pedro,Tienda
2022-09-15,105725.0,Laptop,Centro,Luis,Online
2024-08-13,64727.0,Mouse,Norte,Luis,Distribuidor
2022-09-10,74671.0,Mouse,Norte,Juan,Tienda
2024-12-18,89151.0,Laptop,Norte,Juan,Tienda
2023-12-28,70707.0,Mouse,Sur,Pedro,Distribuidor
2024-05-30,92178.0,Laptop,Sur,María,Online
2023-02-05,117922.0,Laptop,Sur,Pedro,Online
2022-05-14,139638.0,Teclado,Sur,María,Online
2024-01-05,78136.0,Mouse,,Ana,Distribuidor
2022-07-06,45821.0,Mouse,Norte,Luis,Tienda
2022-01-17,24603.0,Teclado,Centro,Luis,Tienda
2024-04-01,79826.0,Laptop,Norte,Juan,Online
2024-02-15,1450.0,Mouse,Norte,,Distribuidor
2024-10-09,112210.0,Teclado,Centro,María,Online
2022-07-20,54324.0,Laptop,Centro,María,Tienda
2024-12-05,38737.0,Laptop,Norte,María,Tienda
2022-05-15,147438.0,Monitor,Centro,Luis,Online
2022-03-21,106666.0,Laptop,Centro,Ana,Online
2022-02-07,154062.0,Monitor,Norte,Ana,Online
2024-01-18,131562.0,Teclado,Centro,Luis,Tienda
2023-03-29,24279.0,Teclado,Norte,Ana,
2024-02-29,97374.0,Mouse,,María,Tienda
2023-02-06,95240.0,Laptop,Centro,Luis,Tienda
2022-04-19,67150.0,,Norte,Juan,Online
2023-04-16,109951.0,Mouse,Sur,María,Distribuidor
2024-01-24,702.0,Laptop,Norte,Pedro,Distribuidor
2023-10-16,23140.0,Monitor,,Juan,Tienda
2024-10-17,84307.0,Mouse,,Ana,Tienda
2022-01-05,130326.0,Laptop,Centro,María,Online
2024-06-04,115414.0,Teclado,Centro,Ana,Online
2024-11-17,106447.0,Monitor,Centro,Juan,Online
2023-12-27,45682.0,,,María,Tienda
2024-05-21,64616.0,Monitor,,Pedro,Online
2023-05-20,93565.0,,Centro,Luis,Tienda
2023-01-15,71330.0,Teclado,Centro,María,Tienda
2022-10-04,42569.0,Mouse,Sur,Pedro,Online
2024-11-28,127484.0,Laptop,Centro,Ana,Online
2023-01-15,36375.0,Mouse,Norte,María,Online
2022-07-25,21834.0,Laptop,Sur,Ana,Online
2024-03-02,60799.0,Monitor,Sur,Juan,Online
2024-02-13,83700.0,Teclado,Norte,Pedro,Tienda
2024-06-15,109445.0,Laptop,Sur,Ana,Tienda
2023-05-24,100170.0,Laptop,Norte,Luis,Distribuidor
2024-05-13,85478.0,Monitor,Centro,Juan,Tienda
2023-10-18,67497.0,Mouse,Sur,Ana,
2024-06-02,79627.0,Teclado,Sur,Luis,Distribuidor
2022-12-05,79882.0,Laptop,Centro,Luis,Tienda
2023-02-17,27547.0,Mouse,,María,Tienda
2022-09-21,93743.0,,Sur,,Tienda
2023-11-22,63968.0,,Centro,Luis,Distribuidor
2022-08-05,92115.0,Teclado,Norte,Juan,Tienda
2022-10-06,56156.0,Laptop,Centro,Ana,Tienda
2024-04-30,76824.0,Monitor,Sur,Pedro,Online
2023-04-22,108778.0,Teclado,Sur,Luis,Tienda
2023-10-02,92234.0,Laptop,,Juan,Tienda
2022-02-04,120070.0,Monitor,Norte,Pedro,Distribuidor
2024-03-05,107819.0,Monitor,Norte,María,Online
2022-11-14,50620.0,Laptop,Sur,Pedro,Tienda
2022-01-14,89070.0,Teclado,Centro,María,Online
2023-01-20,98892.0,Laptop,Sur,,
2022-05-24,59673.0,Monitor,Norte,Juan,Tienda
2023-07-14,7040.0,Teclado,Norte,Ana,Tienda
2024-11-01,63068.0,Laptop,Sur,Juan,Online
2023-06-22,101101.0,Mouse,Centro,,Distribuidor
2024-11-17,81968.0,Monitor,Norte,Luis,Distribuidor
2024-05-21,31236.0,Laptop,Centro,Ana,Online
2022-01-18,80809.0,Monitor,Norte,Luis,Online
2022-10-07,143068.0,,Sur,Luis,Online
2022-04-01,72239.0,Monitor,Norte,,Online
2022-01-20,63190.0,Laptop,,,Online
2024-08-13,52778.0,,Sur,Luis,Online
2023-12-01,80002.0,Mouse,Centro,Luis,Tienda
2024-01-13,129366.0,Mouse,Sur,,Online
2022-04-30,48198.0,Monitor,Norte,Ana,Distribuidor
2024-09-23,21997.0,Teclado,Norte,,Tienda
2023-02-11,32815.0,Laptop,Sur,Pedro,Online
2022-04-09,100285.0,,Norte,Luis,Online
2024-11-08,85320.0,Mouse,Sur,Pedro,Tienda
2024-12-12,16863.0,Laptop,Norte,Luis,Tienda
2022-07-11,76590.0,Monitor,Centro,María,Online
2022-05-11,114429.0,,Centro,Ana,Online
2022-06-09,48455.0,Laptop,Centro,Pedro,Tienda
2022-10-12,74458.0,Monitor,Centro,María,Distribuidor
2024-06-09,78186.0,Laptop,Centro,Juan,Online
2023-04-30,3087.0,Laptop,Norte,Pedro,Tienda
2024-03-12,43140.0,,Sur,Ana,Tienda
2023-03-14,101011.0,Mouse,Norte,María,Online
2024-01-11,56222.0,Laptop,Norte,Luis,Online
2024-12-28,109800.0,Monitor,,María,Tienda
2024-02-06,52313.0,,Norte,Luis,Tienda
2024-03-16,121348.0,,Centro,Juan,Online
2023-06-05,179239.0,Mouse,Norte,Pedro,Distribuidor
2024-05-22,39217.0,,Centro,María,Online
2022-02-20,49837.0,Teclado,Centro,Pedro,Online
2023-02-01,77710.0,Teclado,Centro,Juan,Online
2023-06-02,57493.0,Teclado,Norte,Juan,Online
2022-07-09,68258.0,Laptop,Centro,Pedro,Tienda
2023-08-10,23911.0,Teclado,Norte,Juan,Online
2023-02-02,141199.0,Monitor,Sur,Ana,Tienda
2024-12-12,41265.0,Laptop,Norte,María,Online
2023-10-20,46829.0,,Centro,Juan,Tienda
2023-11-21,114822.0,Mouse,Centro,,Tienda
2024-09-19,94672.0,Teclado,Norte,Ana,Distribuidor
2024-10-12,85286.0,Mouse,Sur,Juan,Distribuidor
2023-09-26,125608.0,Monitor,Norte,,Online
2022-04-06,21628.0,Teclado,Norte,Luis,Online
2024-03-26,166939.0,Teclado,Sur,Juan,Tienda
2023-12-19,48362.0,Monitor,Sur,Pedro,Online
2023-07-05,10262.0,Monitor,Centro,María,Distribuidor
2023-09-05,70142.0,Teclado,,Ana,
2023-05-25,88896.0,Laptop,Sur,Pedro,Tienda
2022-03-03,122447.0,Laptop,,María,Tienda
2022-02-23,184675.0,Mouse,,Pedro,Tienda
2023-04-05,47892.0,Laptop,Sur,Luis,Tienda
2023-04-09,80006.0,Monitor,Norte,María,Online
2024-02-15,79307.0,Laptop,Centro,Ana,
2024-03-01,57033.0,Mouse,,Juan,Online
2024-01-29,38528.0,Mouse,Centro,Ana,Distribuidor
2024-08-03,141861.0,Monitor,Norte,Luis,Tienda
2022-04-06,56033.0,Monitor,Centro,Juan,Tienda
2024-02-23,97287.0,Teclado,,Luis,Tienda
2023-11-30,55180.0,Laptop,Centro,María,Online
2022-08-23,102132.0,Monitor,Norte,,Tienda
2023-09-26,48623.0,Monitor,Norte,Ana,Online
2023-12-04,124853.0,,Centro,Ana,Distribuidor
2024-12-07,13699.0,,Norte,,Online
2022-12-10,66098.0,Laptop,Sur,Ana,Online
2024-07-16,104972.0,Mouse,Norte,Juan,Online
2023-07-11,50849.0,Teclado,Norte,Luis,Distribuidor
2024-11-11,44322.0,,Sur,Luis,Distribuidor
2023-10-05,51812.0,Monitor,,Juan,Online
2023-10-03,148872.0,Teclado,Sur,María,Online
2023-02-04,29140.0,Mouse,,Ana,Online
2024-02-08,119147.0,Laptop,,Juan,Tienda
2022-07-17,21213.0,Monitor,Sur,María,Tienda
2022-07-26,153513.0,Monitor,Norte,María,Tienda
2022-06-07,69052.0,,Centro,María,Distribuidor
2022-06-01,88603.0,Mouse,Sur,Juan,Tienda
2024-07-23,55212.0,Mouse,,,Online
2024-06-13,136690.0,Mouse,Norte,Juan,Online
2023-09-16,73928.0,Laptop,Centro,,Online
2024-02-16,95217.0,Laptop,Norte,Pedro,Distribuidor
2023-09-25,141280.0,,Sur,Luis,Distribuidor
2023-05-03,93785.0,Teclado,Sur,María,Distribuidor
2024-01-24,84732.0,Monitor,Sur,Pedro,Tienda
2024-10-21,62586.0,Mouse,Norte,Pedro,
2024-08-05,4809.0,Mouse,Norte,Ana,Distribuidor
2023-05-27,19865.0,Teclado,Norte,María,Online
2024-03-02,81294.0,Laptop,Centro,María,Tienda
2022-09-27,175068.0,Monitor,Norte,Juan,Online
2022-04-14,74166.0,Laptop,Centro,Pedro,Online
2024-09-08,71045.0,Teclado,Norte,Ana,Online
2022-08-05,92469.0,Monitor,Sur,María,Online
2023-04-20,55945.0,Mouse,,María,Online
2022-07-22,90342.0,Teclado,Centro,Luis,Online
2023-05-12,60193.0,Monitor,Norte,María,Tienda
2023-05-28,35417.0,Monitor,Norte,,Tienda
2022-02-27,46844.0,Laptop,Sur,Juan,Online
2024-11-05,60073.0,Mouse,,Luis,Online
2023-02-22,121057.0,Laptop,Centro,Juan,Tienda
2023-01-31,61584.0,Monitor,Sur,Pedro,Distribuidor
2024-02-03,55729.0,Mouse,,Luis,Distribuidor
2024-03-26,135039.0,Laptop,Norte,Ana,Distribuidor
2022-10-29,162590.0,Monitor,Sur,María,Tienda
2023-05-04,8971.0,Monitor,,,Tienda
2022-07-27,56291.0,Mouse,Norte,María,Tienda
2022-09-11,18566.0,Laptop,Centro,Juan,Tienda
2024-03-26,119296.0,Mouse,Norte,María,Distribuidor
2022-02-05,120566.0,Teclado,Norte,María,Tienda
2023-07-19,67760.0,,,Pedro,Online
2023-09-28,8201.0,Mouse,Sur,María,Distribuidor
2024-09-19,161546.0,Mouse,Centro,Juan,Online
2024-03-06,75454.0,,Centro,,Tienda
2023-03-18,94013.0,,Sur,Luis,Tienda
2023-02-05,30282.0,,Centro,María,Tienda
2024-09-30,73519.0,Mouse,Centro,Ana,Tienda
2023-09-18,42229.0,Teclado,Centro,María,Tienda
2023-07-05,55795.0,Laptop,Norte,Luis,Online
2024-04-15,61535.0,,Sur,Luis,Online
2024-06-16,88140.0,,Centro,Luis,Tienda
2022-05-24,83305.0,Laptop,Sur,,Distribuidor
2024-05-03,76542.0,Monitor,Norte,María,Online
2024-03-05,74283.0,Teclado,,María,Online
2024-08-18,14827.0,Laptop,Norte,Pedro,Online
2023-11-18,56663.0,Mouse,Norte,María,Tienda
2024-05-28,66124.0,Laptop,Sur,Luis,Online
2023-10-26,162643.0,Laptop,Centro,,Online
2023-07-24,52057.0,Teclado,Sur,Luis,Tienda
2022-01-23,35399.0,Monitor,Sur,,
2024-01-06,46308.0,Mouse,Centro,Juan,Online
2022-03-31,144509.0,Laptop,Centro,Ana,Tienda
2024-01-31,60954.0,Mouse,Centro,Pedro,
2024-01-21,149600.0,Teclado,Norte,Pedro,Tienda
2023-10-10,135389.0,Monitor,Sur,Ana,Online
2024-05-16,56063.0,,Sur,Luis,Online
2023-11-03,119149.0,Monitor,Norte,Pedro,Online
2024-04-13,51348.0,Laptop,Norte,Luis,Online
2022-06-26,109790.0,Teclado,Centro,Luis,Online
2023-04-18,69872.0,Monitor,Sur,Ana,Online
2023-11-15,45562.0,Monitor,,María,Tienda
2023-12-31,139559.0,,Sur,Luis,Online
2023-08-24,99628.0,Laptop,Norte,Pedro,Online
2022-08-06,166139.0,Laptop,Norte,Juan,Distribuidor
2023-12-15,51538.0,Mouse,Sur,María,Distribuidor
2023-04-21,65011.0,Monitor,Norte,Ana,Online
2024-02-01,115971.0,Monitor,Centro,Luis,Tienda
2024-12-31,147721.0,Laptop,Centro,Juan,Tienda
2024-10-22,21415.0,Monitor,Sur,,Online
2023-11-07,98775.0,Laptop,Sur,Ana,Tienda
2022-10-07,24252.0,Laptop,Centro,Juan,Tienda
2023-09-20,178908.0,Mouse,Norte,,Distribuidor
2022-12-04,68983.0,Laptop,,Luis,Online
2024-05-25,15612.0,Teclado,Centro,Ana,Tienda
2023-04-01,19577.0,Teclado,Centro,,Online
2023-02-08,25033.0,Mouse,Centro,Juan,
2024-04-08,59868.0,Laptop,Centro,Ana,Distribuidor
2023-03-20,94617.0,Mouse,Centro,Luis,Online
2024-04-10,63667.0,,Sur,Ana,Distribuidor
2022-11-27,132772.0,Monitor,Sur,María,Online
2022-03-06,25722.0,Monitor,Centro,Ana,Distribuidor
2023-11-16,10099.0,Monitor,,Pedro,
2024-05-27,97206.0,Laptop,Sur,María,Distribuidor
2024-12-28,80888.0,,Norte,Pedro,Tienda
2022-04-23,80921.0,Mouse,,Ana,Online
2022-04-27,11664.0,Mouse,Sur,Ana,Online
2023-04-01,140061.0,,Norte,María,Tienda
2023-02-23,118577.0,Mouse,,Ana,Tienda
2022-10-21,76023.0,Laptop,Norte,Juan,Tienda
2023-02-02,52293.0,Monitor,,Luis,Distribuidor
2023-10-08,66599.0,Laptop,Norte,Juan,Online
2023-01-14,107192.0,Teclado,Norte,María,Tienda
2024-10-18,165259.0,Teclado,Sur,Ana,Tienda
2023-02-02,26419.0,Laptop,,Pedro,Online
2023-12-30,330552.0,Teclado,,María,Online
2024-04-20,116254.0,Teclado,,Luis,Online
2024-10-13,36862.0,Laptop,,Luis,Online
2022-03-29,48183.0,Laptop,Norte,Pedro,Tienda
2022-11-17,47570.0,Teclado,Centro,Pedro,Distribuidor
2023-05-18,67002.0,Teclado,Sur,Luis,Tienda
2022-09-20,121183.0,Laptop,Sur,Pedro,Tienda
2023-12-21,1767.0,Monitor,Centro,María,Online
2023-01-23,81739.0,,Sur,Juan,Online
2023-12-31,101688.0,Teclado,Centro,,
2022-09-10,144017.0,Teclado,Centro,Pedro,Tienda
2023-05-07,123228.0,Monitor,,Luis,Online
2023-12-01,49760.0,Teclado,Norte,Pedro,Online
2023-12-11,101739.0,Mouse,Sur,Ana,Online
2024-07-24,70886.0,Mouse,Sur,Juan,Tienda
2024-03-11,73079.0,,Centro,Ana,Tienda
2022-09-04,81510.0,Monitor,Norte,María,Distribuidor
2024-10-05,71210.0,Mouse,Centro,Pedro,Tienda
2024-12-22,48985.0,Monitor,Sur,María,Online
2024-05-10,104378.0,Laptop,Norte,Luis,Tienda
2022-02-04,59217.0,,Sur,Juan,Online
2024-06-15,63995.0,Mouse,Norte,Luis,Online
2023-05-18,95112.0,Teclado,Sur,María,Online
2024-12-17,626784.0,Mouse,,Luis,Tienda
2024-09-29,104246.0,Teclado,Centro,María,Tienda
2023-11-17,144253.0,Monitor,Sur,Juan,Tienda
2023-12-28,149159.0,Laptop,Centro,Luis,Online
2022-02-10,46368.0,Laptop,Norte,Luis,Distribuidor
2023-03-29,116711.0,Mouse,Norte,Luis,Tienda
2024-05-03,56189.0,,,Luis,Distribuidor
2024-08-19,71249.0,Laptop,Sur,,Tienda
2022-12-23,99000.0,Monitor,Norte,,Online
2023-07-23,186841.0,Monitor,Norte,Pedro,Tienda
2023-05-26,69928.0,,,Juan,Online
2024-06-03,352852.0,Monitor,Sur,María,Online
2024-11-28,48419.0,Teclado,,Juan,Online
2024-10-09,32590.0,Laptop,Centro,Pedro,Online
2024-09-02,64255.0,Teclado,Norte,María,Tienda
2024-09-04,90143.0,Mouse,Sur,Luis,Online
2022-04-04,54600.0,Mouse,Norte,Luis,Tienda
2024-05-26,60561.0,Monitor,Centro,Luis,Tienda
2022-06-19,153613.0,Laptop,,María,Tienda
2024-08-14,66475.0,Teclado,Sur,Ana,Online
2024-09-22,63054.0,Monitor,Sur,Juan,Tienda
2024-08-28,125987.0,Teclado,,Luis,Tienda
2024-12-06,28244.0,Monitor,Centro,Pedro,Tienda
2023-10-22,39865.0,Laptop,Norte,Ana,Online
2023-07-24,127754.0,Mouse,,Juan,Tienda
2022-10-11,28146.0,Monitor,,Luis,Online
2022-06-22,122408.0,Monitor,Centro,Pedro,Distribuidor
2024-08-12,66839.0,Teclado,,Juan,Online
2022-08-18,109491.0,Teclado,Centro,María,Tienda
2024-06-21,24960.0,Teclado,Centro,Ana,Tienda
2024-11-22,95553.0,Monitor,Sur,Luis,Online
2023-06-25,82932.0,Mouse,Centro,Pedro,Online
2024-05-13,69892.0,Monitor,Centro,,Tienda
2022-09-22,108363.0,Monitor,,Ana,Online
2023-07-17,45693.0,,,Luis,Tienda
2023-10-18,63482.0,Laptop,Norte,Luis,Online
2023-12-30,4525.0,Teclado,Sur,Ana,Distribuidor
2024-11-26,79389.0,Monitor,Centro,Ana,Tienda
2023-09-01,80311.0,Mouse,Sur,Luis,Tienda
2023-07-18,138669.0,Mouse,Centro,Pedro,Tienda
2024-02-09,9531.0,Laptop,Sur,Luis,Online
2023-07-18,101275.0,Monitor,Centro,María,Online
2022-01-02,44594.0,Teclado,Sur,Pedro,Distribuidor
2023-03-31,87713.0,,Centro,,Online
2023-10-25,108567.0,Teclado,Norte,Ana,Tienda
2022-04-02,23634.0,Mouse,Centro,Ana,Online
2023-11-15,60542.0,Monitor,,Pedro,Online
2023-07-20,131599.0,Laptop,,María,Online
2024-04-17,13613.0,Mouse,Centro,María,Tienda
2023-11-13,111073.0,Laptop,Centro,María,Tienda
2024-10-29,82095.0,Laptop,Centro,Pedro,Tienda
2024-04-03,111300.0,Mouse,,Pedro,Tienda
2023-06-09,13809.0,Laptop,Sur,,Online
2022-06-22,136968.0,,Norte,María,Tienda
2023-09-05,82110.0,Mouse,Centro,Luis,Online
2022-12-07,85682.0,Monitor,Centro,Ana,Tienda
2024-03-26,63676.0,Mouse,Centro,,Distribuidor
2023-10-21,136840.0,Laptop,Norte,Ana,Tienda
2024-03-25,94407.0,Mouse,Norte,,Tienda
2022-02-16,117175.0,Mouse,Norte,Ana,Tienda
2024-06-10,151432.0,,Centro,,Tienda
2022-08-19,140620.0,Laptop,,Pedro,Online
2024-08-17,72109.0,Monitor,Sur,María,Online
2024-12-12,80303.0,Laptop,Norte,Pedro,Online
2023-05-08,46063.0,,Centro,Juan,Tienda
2024-08-09,167116.0,Monitor,Sur,Ana,Online
2023-04-02,107977.0,Monitor,Centro,Pedro,Tienda
2022-01-22,51221.0,Laptop,Sur,Luis,Online
2024-02-06,118005.0,Monitor,Centro,María,Distribuidor
2023-04-19,36360.0,Mouse,,Juan,Distribuidor
2022-05-30,101056.0,Laptop,,Luis,Distribuidor
2022-04-09,118542.0,Monitor,Sur,María,Distribuidor
2022-02-06,134788.0,,Sur,Pedro,Online
2024-03-12,140525.0,,Norte,Luis,Tienda
2023-08-04,93403.0,Laptop,,Luis,Online
2022-06-16,102024.0,Laptop,Sur,María,Tienda
2023-02-07,667672.0,Teclado,Norte,Juan,Tienda
2022-01-29,57400.0,Laptop,,María,Tienda
2024-11-25,93868.0,Teclado,Sur,,Online
2023-05-26,128354.0,Monitor,Sur,Juan,Online
2022-06-10,92639.0,Teclado,Norte,Luis,Distribuidor
2024-10-25,119121.0,Laptop,Centro,Luis,Distribuidor
2023-05-15,84185.0,Mouse,Sur,María,Online
2024-01-09,50176.0,Monitor,Sur,Pedro,Tienda
2024-04-02,86021.0,Monitor,,Ana,Online
2024-05-04,20666.0,Laptop,Norte,María,Online
