,fecha,ciudad,dispositivo,categoria_producto,metodo_pago,edad_cliente,productos_carrito,tiempo_sesion_min,rating_producto,precio_promedio,monto_total,compra_completada
68,2024-01-03 20:00:00,Santiago,Desktop,Hogar,,48.0,3,0.5,,31915.0,103154.0,0
69,2024-01-03 21:00:00,La Serena,Mobile,Deportes,,49.0,8,14.1,,52027.0,396946.0,0
70,2024-01-03 22:00:00,Concepción,Mobile,Ropa,,59.0,1,13.5,,13700.0,12295.0,0
71,2024-01-03 23:00:00,Santiago,Mobile,Electrónica,Efectivo,35.0,2,13.2,3.0,15131.0,29609.0,0
72,2024-01-04 00:00:00,Santiago,Tablet,Deportes,Tarjeta,57.0,6,6.3,2.0,5239.0,33325.0,0
73,2024-01-04 01:00:00,Concepción,Mobile,Deportes,Transferencia,,4,15.9,5.0,5576.0,22614.0,1
74,2024-01-04 02:00:00,Concepción,Desktop,Deportes,,37.0,1,16.9,,19317.0,16451.0,0
75,2024-01-04 03:00:00,Concepción,Mobile,Hogar,,34.0,6,6.3,5.0,7285.0,37464.0,0
76,2024-01-04 04:00:00,Concepción,Tablet,Electrónica,Tarjeta,62.0,2,21.0,4.0,4327.0,9868.0,1
77,2024-01-04 05:00:00,Santiago,Mobile,Libros,,32.0,10,4.2,2.0,17454.0,196158.0,0
78,2024-01-04 06:00:00,Santiago,Mobile,Deportes,Tarjeta,49.0,2,3.3,5.0,13375.0,30068.0,1
79,2024-01-04 07:00:00,Santiago,Desktop,Ropa,Tarjeta,66.0,2,5.5,3.0,30539.0,60281.0,0
80,2024-01-04 08:00:00,Concepción,Tablet,Electrónica,Tarjeta,64.0,3,3.0,5.0,5811.0,15946.0,1
81,2024-01-04 09:00:00,Valparaíso,Tablet,Libros,Tarjeta,45.0,6,16.5,5.0,11798.0,81213.0,1
82,2024-01-04 10:00:00,Santiago,Desktop,Ropa,Transferencia,,6,1.2,5.0,20108.0,118517.0,1
83,2024-01-04 11:00:00,Santiago,Desktop,Libros,,51.0,2,4.2,3.0,6616.0,12128.0,0
84,2024-01-04 12:00:00,Santiago,Desktop,Libros,,59.0,3,3.0,5.0,11628.0,31303.0,0
85,2024-01-04 13:00:00,Santiago,Desktop,Electrónica,Tarjeta,45.0,2,15.6,4.0,17028.0,33295.0,1
86,2024-01-04 14:00:00,Concepción,Desktop,Hogar,Tarjeta,48.0,3,2.7,,30136.0,78001.0,0
87,2024-01-04 15:00:00,Valparaíso,Mobile,Ropa,Efectivo,34.0,1,1.1,4.0,19504.0,17850.0,1
88,2024-01-04 16:00:00,Concepción,Desktop,Deportes,Tarjeta,41.0,7,,2.0,8602.0,68571.0,1
89,2024-01-04 17:00:00,Valparaíso,Mobile,Libros,Tarjeta,53.0,10,,,36483.0,391553.0,0
90,2024-01-04 18:00:00,Santiago,Desktop,Ropa,Tarjeta,,7,15.3,5.0,30719.0,187844.0,1
91,2024-01-04 19:00:00,Concepción,Desktop,Electrónica,,33.0,4,3.3,4.0,13315.0,58382.0,0
92,2024-01-04 20:00:00,Concepción,Mobile,Ropa,Efectivo,57.0,2,9.1,4.0,3819.0,7432.0,1
93,2024-01-04 21:00:00,Valparaíso,Mobile,Deportes,Tarjeta,54.0,2,1.1,,6008.0,13282.0,0
94,2024-01-04 22:00:00,Concepción,Mobile,Deportes,,33.0,3,2.7,,12826.0,33496.0,0
95,2024-01-04 23:00:00,Valparaíso,Mobile,Electrónica,Transferencia,31.0,2,0.5,5.0,11644.0,26142.0,1
96,2024-01-05 00:00:00,Valparaíso,Mobile,Ropa,,33.0,2,0.1,5.0,64650.0,120804.0,0
97,2024-01-05 01:00:00,Santiago,Tablet,Hogar,Transferencia,58.0,2,12.8,3.0,9669.0,18471.0,0
98,2024-01-05 02:00:00,Santiago,Desktop,Hogar,Transferencia,43.0,2,5.7,4.0,16751.0,36675.0,1
99,2024-01-05 03:00:00,Santiago,Desktop,Libros,Tarjeta,58.0,2,2.4,5.0,6592.0,12361.0,1
100,2024-01-05 04:00:00,Santiago,Mobile,Libros,,58.0,6,3.5,5.0,11680.0,70580.0,0
101,2024-01-05 05:00:00,Valparaíso,Tablet,Ropa,,35.0,11,9.4,3.0,38685.0,392762.0,0
102,2024-01-05 06:00:00,Santiago,Desktop,Libros,Transferencia,42.0,2,5.3,4.0,14577.0,31003.0,1
103,2024-01-05 07:00:00,Valparaíso,Mobile,Deportes,Tarjeta,35.0,8,5.0,,5219.0,47154.0,0
104,2024-01-05 08:00:00,La Serena,Desktop,Electrónica,,42.0,3,3.7,,5214.0,15430.0,0
105,2024-01-05 09:00:00,Santiago,Tablet,Libros,Transferencia,64.0,8,12.5,5.0,35355.0,294319.0,1
106,2024-01-05 10:00:00,Santiago,Mobile,Hogar,,46.0,2,12.8,,3979.0,6985.0,0
107,2024-01-05 11:00:00,Concepción,Desktop,Deportes,Transferencia,31.0,3,9.4,,10190.0,31896.0,0
108,2024-01-05 12:00:00,Santiago,Tablet,Hogar,,35.0,5,16.3,2.0,9915.0,52244.0,0
109,2024-01-05 13:00:00,Santiago,Mobile,Libros,,,1,12.3,3.0,2865.0,2755.0,0
110,2024-01-05 14:00:00,Santiago,Desktop,Libros,Tarjeta,35.0,5,1.9,4.0,7696.0,39032.0,1
111,2024-01-05 15:00:00,Santiago,Mobile,Deportes,Efectivo,38.0,2,3.4,,11587.0,22059.0,0
112,2024-01-05 16:00:00,La Serena,Mobile,Hogar,Transferencia,76.0,1,10.3,4.0,18961.0,17379.0,0
113,2024-01-05 17:00:00,Concepción,Desktop,Electrónica,Efectivo,64.0,3,,5.0,4594.0,13685.0,1
114,2024-01-05 18:00:00,Valparaíso,Mobile,Electrónica,Tarjeta,47.0,4,1.3,4.0,7982.0,29987.0,1
115,2024-01-05 19:00:00,Concepción,Desktop,Deportes,Transferencia,41.0,4,10.0,4.0,13298.0,52106.0,1
116,2024-01-05 20:00:00,Concepción,Mobile,Libros,Transferencia,,5,5.4,5.0,15288.0,66011.0,1
117,2024-01-05 21:00:00,Santiago,Mobile,Deportes,,,1,3.6,4.0,7089.0,8017.0,0
118,2024-01-05 22:00:00,Concepción,Mobile,Hogar,Transferencia,48.0,3,0.8,4.0,9434.0,25426.0,1
119,2024-01-05 23:00:00,Valparaíso,Mobile,Electrónica,Tarjeta,,1,1.4,,14400.0,15474.0,0
120,2024-01-06 00:00:00,Concepción,Mobile,Libros,Tarjeta,41.0,2,1.5,5.0,7211.0,12968.0,1
121,2024-01-06 01:00:00,Concepción,Desktop,Hogar,,48.0,1,7.4,,20579.0,22434.0,0
122,2024-01-06 02:00:00,Santiago,Tablet,Electrónica,,47.0,3,15.6,4.0,5648.0,15596.0,0
123,2024-01-06 03:00:00,Santiago,Desktop,Electrónica,,46.0,5,14.1,3.0,3737.0,18221.0,0
124,2024-01-06 04:00:00,Santiago,Mobile,Ropa,Efectivo,56.0,1,16.9,,5352.0,6011.0,0
125,2024-01-06 05:00:00,Santiago,Desktop,Libros,,54.0,2,6.3,,6691.0,12007.0,0
126,2024-01-06 06:00:00,Concepción,Tablet,Deportes,Transferencia,29.0,4,8.0,5.0,7069.0,32107.0,1
127,2024-01-06 07:00:00,Concepción,Mobile,Ropa,Tarjeta,42.0,2,1.2,,4670.0,10535.0,0
128,2024-01-06 08:00:00,Santiago,Mobile,Electrónica,Tarjeta,,4,5.3,5.0,9507.0,37495.0,1
129,2024-01-06 09:00:00,Valparaíso,Mobile,Libros,Efectivo,60.0,12,4.8,2.0,6601.0,77310.0,1
130,2024-01-06 10:00:00,Santiago,Mobile,Libros,Efectivo,30.0,3,6.2,4.0,20046.0,61047.0,0
131,2024-01-06 11:00:00,Santiago,Tablet,Ropa,Tarjeta,66.0,4,7.8,4.0,15183.0,59715.0,1
132,2024-01-06 12:00:00,Santiago,Desktop,Hogar,Transferencia,,6,3.2,4.0,13688.0,74803.0,1
133,2024-01-06 13:00:00,Santiago,Desktop,Hogar,Tarjeta,30.0,5,2.8,3.0,18674.0,84834.0,1
134,2024-01-06 14:00:00,La Serena,Mobile,Deportes,Tarjeta,58.0,4,3.7,4.0,32281.0,122970.0,1
135,2024-01-06 15:00:00,Santiago,Mobile,Libros,Tarjeta,47.0,2,0.8,,6914.0,14576.0,0
136,2024-01-06 16:00:00,Valparaíso,Mobile,Ropa,Tarjeta,47.0,1,0.6,4.0,28106.0,29715.0,1
137,2024-01-06 17:00:00,Concepción,Tablet,Electrónica,Transferencia,43.0,2,1.1,4.0,12783.0,24858.0,0
138,2024-01-06 18:00:00,Santiago,Mobile,Hogar,Transferencia,30.0,5,3.2,4.0,13824.0,61982.0,1
139,2024-01-06 19:00:00,La Serena,Desktop,Ropa,,46.0,4,3.5,,8032.0,36642.0,0
140,2024-01-06 20:00:00,La Serena,Mobile,Deportes,Transferencia,35.0,4,31.5,1.0,30287.0,124477.0,0
141,2024-01-06 21:00:00,Santiago,Desktop,Deportes,Tarjeta,50.0,5,5.9,5.0,21044.0,102487.0,1
142,2024-01-06 22:00:00,Valparaíso,Desktop,Libros,Tarjeta,70.0,2,0.7,5.0,4321.0,8331.0,1
143,2024-01-06 23:00:00,Santiago,Desktop,Deportes,Tarjeta,39.0,8,2.0,,36209.0,277044.0,0
144,2024-01-07 00:00:00,Santiago,Mobile,Deportes,Tarjeta,70.0,2,18.7,4.0,13658.0,29696.0,1
145,2024-01-07 01:00:00,Santiago,Mobile,Hogar,,31.0,3,30.8,,10049.0,28113.0,0
146,2024-01-07 02:00:00,Valparaíso,Mobile,Hogar,Tarjeta,58.0,4,32.5,,21140.0,91480.0,0
147,2024-01-07 03:00:00,Valparaíso,Tablet,Deportes,Tarjeta,38.0,4,3.0,3.0,19388.0,74547.0,0
148,2024-01-07 04:00:00,Santiago,Mobile,Libros,Tarjeta,36.0,3,6.3,4.0,19445.0,52054.0,0
149,2024-01-07 05:00:00,Santiago,Mobile,Hogar,Transferencia,47.0,7,24.4,2.0,30615.0,236529.0,1
150,2024-01-07 06:00:00,La Serena,Mobile,Hogar,Tarjeta,34.0,2,5.0,4.0,9387.0,19033.0,1
151,2024-01-07 07:00:00,Santiago,Mobile,Deportes,Efectivo,51.0,2,1.6,4.0,15075.0,34268.0,1
152,2024-01-07 08:00:00,Santiago,Desktop,Libros,Tarjeta,95.0,1,0.3,,26995.0,27171.0,0
153,2024-01-07 09:00:00,Valparaíso,Tablet,Deportes,,72.0,5,3.7,4.0,24028.0,133257.0,0
154,2024-01-07 10:00:00,La Serena,Mobile,Electrónica,Tarjeta,45.0,5,6.4,,24095.0,136601.0,0
155,2024-01-07 11:00:00,Santiago,Tablet,Electrónica,Tarjeta,36.0,9,12.8,4.0,15591.0,140619.0,1
156,2024-01-07 12:00:00,Valparaíso,Desktop,Libros,Transferencia,28.0,4,9.3,5.0,22204.0,93049.0,1
157,2024-01-07 13:00:00,Concepción,Mobile,Electrónica,,44.0,5,0.0,5.0,30033.0,161535.0,0
158,2024-01-07 14:00:00,Santiago,Tablet,Libros,,48.0,3,1.5,,10544.0,34648.0,0
159,2024-01-07 15:00:00,Concepción,Desktop,Electrónica,Transferencia,36.0,7,5.1,1.0,3386.0,23363.0,1
160,2024-01-07 16:00:00,Santiago,Mobile,Ropa,Transferencia,54.0,3,12.2,5.0,18414.0,62953.0,1
161,2024-01-07 17:00:00,Valparaíso,Desktop,Hogar,Tarjeta,,1,0.6,,8722.0,8457.0,0
162,2024-01-07 18:00:00,Valparaíso,Mobile,Deportes,Transferencia,60.0,1,9.0,4.0,11240.0,11411.0,0
163,2024-01-07 19:00:00,Valparaíso,Mobile,Libros,Tarjeta,70.0,6,1.8,,35005.0,213344.0,0
164,2024-01-07 20:00:00,Santiago,Desktop,Electrónica,Tarjeta,82.0,2,5.5,4.0,18807.0,34262.0,1
165,2024-01-07 21:00:00,Concepción,Desktop,Ropa,Tarjeta,,11,6.8,5.0,156946.0,1672229.0,1
166,2024-01-07 22:00:00,Santiago,Desktop,Electrónica,,,3,3.8,2.0,4728.0,15176.0,0
167,2024-01-07 23:00:00,Santiago,Mobile,Ropa,Transferencia,,2,0.8,4.0,3213.0,6514.0,0
168,2024-01-08 00:00:00,Santiago,Tablet,Deportes,,37.0,1,4.4,3.0,11673.0,10961.0,0
169,2024-01-08 01:00:00,Valparaíso,Mobile,Hogar,Tarjeta,43.0,6,7.8,5.0,13433.0,75646.0,0
170,2024-01-08 02:00:00,Valparaíso,Mobile,Hogar,Tarjeta,35.0,10,16.1,3.0,5235.0,56344.0,1
171,2024-01-08 03:00:00,Santiago,Mobile,Ropa,Tarjeta,34.0,7,8.5,3.0,21049.0,167191.0,0
172,2024-01-08 04:00:00,Valparaíso,Mobile,Electrónica,,,4,12.5,,27296.0,97748.0,0
173,2024-01-08 05:00:00,Santiago,Mobile,Hogar,,52.0,9,4.2,,12333.0,126571.0,0
174,2024-01-08 06:00:00,Valparaíso,Desktop,Electrónica,,53.0,9,1.5,,17035.0,171360.0,0
175,2024-01-08 07:00:00,Santiago,Desktop,Libros,,31.0,2,13.0,,47633.0,109029.0,0
176,2024-01-08 08:00:00,Valparaíso,Tablet,Electrónica,Tarjeta,41.0,1,10.5,,16831.0,14848.0,0
177,2024-01-08 09:00:00,Santiago,Desktop,Libros,,36.0,9,6.7,4.0,32943.0,261588.0,0
178,2024-01-08 10:00:00,La Serena,Mobile,Libros,,76.0,2,8.3,,11670.0,24135.0,0
179,2024-01-08 11:00:00,Santiago,Desktop,Hogar,Tarjeta,32.0,2,17.0,4.0,23876.0,42779.0,1
180,2024-01-08 12:00:00,Santiago,Desktop,Libros,,43.0,2,9.0,,8983.0,18853.0,0
181,2024-01-08 13:00:00,Santiago,Mobile,Electrónica,,40.0,2,2.1,,6905.0,14695.0,0
182,2024-01-08 14:00:00,La Serena,Desktop,Deportes,Tarjeta,34.0,3,2.5,3.0,11688.0,35839.0,1
183,2024-01-08 15:00:00,Concepción,Mobile,Electrónica,Tarjeta,36.0,6,1.5,,12140.0,69530.0,0
184,2024-01-08 16:00:00,Santiago,Mobile,Ropa,Tarjeta,34.0,1,1.0,2.0,48289.0,49738.0,0
185,2024-01-08 17:00:00,Valparaíso,Mobile,Ropa,Tarjeta,45.0,5,9.1,1.0,36771.0,187049.0,0
186,2024-01-08 18:00:00,Concepción,Desktop,Electrónica,Transferencia,42.0,2,1.3,5.0,12487.0,26439.0,1
187,2024-01-08 19:00:00,Valparaíso,Desktop,Ropa,Efectivo,32.0,1,0.1,5.0,21569.0,19902.0,1
188,2024-01-08 20:00:00,Valparaíso,Mobile,Deportes,Tarjeta,27.0,3,4.4,,11401.0,35636.0,0
189,2024-01-08 21:00:00,Santiago,Desktop,Ropa,Tarjeta,54.0,4,7.9,4.0,12520.0,55193.0,1
190,2024-01-08 22:00:00,Santiago,Tablet,Hogar,Transferencia,55.0,4,4.5,5.0,5863.0,23490.0,0
191,2024-01-08 23:00:00,Concepción,Tablet,Deportes,,57.0,1,7.3,5.0,8696.0,9173.0,0
192,2024-01-09 00:00:00,La Serena,Mobile,Hogar,Tarjeta,32.0,4,10.7,3.0,19187.0,82915.0,1
193,2024-01-09 01:00:00,Valparaíso,Mobile,Hogar,Tarjeta,55.0,2,1.8,2.0,18772.0,42449.0,1
194,2024-01-09 02:00:00,Santiago,Desktop,Deportes,Tarjeta,28.0,5,4.4,5.0,18724.0,94069.0,1
195,2024-01-09 03:00:00,Santiago,Mobile,Hogar,Tarjeta,42.0,4,4.9,3.0,18239.0,76488.0,1
196,2024-01-09 04:00:00,Concepción,Mobile,Ropa,Tarjeta,44.0,1,4.4,4.0,13645.0,12112.0,1
197,2024-01-09 05:00:00,Concepción,Mobile,Electrónica,,39.0,1,30.5,,19378.0,21487.0,0
198,2024-01-09 06:00:00,Concepción,Desktop,Deportes,,36.0,7,2.4,,6510.0,47054.0,0
199,2024-01-09 07:00:00,Concepción,Desktop,Electrónica,Tarjeta,36.0,3,10.0,,8309.0,27606.0,0
200,2024-01-09 08:00:00,Valparaíso,Mobile,Deportes,Transferencia,,10,5.5,3.0,24546.0,264173.0,1
201,2024-01-09 09:00:00,Santiago,Mobile,Deportes,,,3,11.7,3.0,6052.0,20520.0,0
202,2024-01-09 10:00:00,Santiago,Desktop,Hogar,Tarjeta,,3,4.0,5.0,9867.0,32007.0,1
203,2024-01-09 11:00:00,Concepción,Mobile,Electrónica,,55.0,5,9.2,,11167.0,53717.0,0
204,2024-01-09 12:00:00,Valparaíso,Mobile,Ropa,Tarjeta,28.0,4,3.0,3.0,14125.0,59040.0,1
205,2024-01-09 13:00:00,Santiago,Mobile,Electrónica,Tarjeta,54.0,6,20.1,5.0,24322.0,166401.0,1
206,2024-01-09 14:00:00,Santiago,Mobile,Deportes,,48.0,4,12.2,4.0,7122.0,28627.0,0
207,2024-01-09 15:00:00,Valparaíso,Mobile,Ropa,Transferencia,49.0,4,20.9,5.0,2805.0,11217.0,1
208,2024-01-09 16:00:00,Santiago,Desktop,Hogar,Transferencia,,3,32.5,4.0,44914.0,149867.0,1
209,2024-01-09 17:00:00,Santiago,Desktop,Ropa,Tarjeta,34.0,2,0.4,,7676.0,16121.0,0
210,2024-01-09 18:00:00,Valparaíso,Mobile,Ropa,Tarjeta,40.0,3,24.4,,19480.0,56639.0,0
211,2024-01-09 19:00:00,Valparaíso,Mobile,Electrónica,Tarjeta,,2,14.0,3.0,8867.0,19740.0,0
212,2024-01-09 20:00:00,Valparaíso,Mobile,Deportes,Tarjeta,62.0,5,0.7,5.0,21746.0,113820.0,1
213,2024-01-09 21:00:00,Santiago,Desktop,Deportes,Transferencia,62.0,6,,3.0,15034.0,82847.0,1
214,2024-01-09 22:00:00,Concepción,Mobile,Deportes,Tarjeta,52.0,4,4.3,2.0,22316.0,77793.0,0
215,2024-01-09 23:00:00,Santiago,Mobile,Libros,,54.0,6,3.0,,5763.0,37709.0,0
216,2024-01-10 00:00:00,Santiago,Desktop,Hogar,Tarjeta,59.0,5,17.3,3.0,40043.0,177681.0,0
217,2024-01-10 01:00:00,Concepción,Desktop,Electrónica,,63.0,1,3.4,,11672.0,11523.0,0
218,2024-01-10 02:00:00,Valparaíso,Mobile,Deportes,,,5,22.2,,18601.0,103123.0,0
219,2024-01-10 03:00:00,Concepción,Mobile,Ropa,Tarjeta,27.0,1,10.8,1.0,25404.0,24445.0,1
220,2024-01-10 04:00:00,Valparaíso,Tablet,Libros,,59.0,4,2.4,,103902.0,371039.0,0
221,2024-01-10 05:00:00,Valparaíso,Tablet,Hogar,,46.0,1,13.7,,17319.0,15424.0,0
222,2024-01-10 06:00:00,Santiago,Mobile,Deportes,Transferencia,50.0,5,1.3,4.0,16839.0,75891.0,1
223,2024-01-10 07:00:00,Santiago,Desktop,Libros,Tarjeta,46.0,3,5.0,3.0,21125.0,62005.0,1
224,2024-01-10 08:00:00,Santiago,Desktop,Hogar,Tarjeta,45.0,2,3.8,5.0,45702.0,83851.0,1
225,2024-01-10 09:00:00,Santiago,Tablet,Ropa,Transferencia,40.0,8,26.6,,24355.0,185167.0,0
226,2024-01-10 10:00:00,La Serena,Mobile,Libros,Tarjeta,57.0,3,15.5,3.0,38633.0,127898.0,0
227,2024-01-10 11:00:00,Santiago,Desktop,Electrónica,,57.0,2,19.9,,16848.0,34176.0,0
228,2024-01-10 12:00:00,Concepción,Desktop,Hogar,Tarjeta,53.0,13,6.4,5.0,19649.0,252652.0,1
229,2024-01-10 13:00:00,Valparaíso,Mobile,Libros,,38.0,5,2.9,5.0,13444.0,65026.0,0
